2349,11203,3,UPDATE ovc_care_health SET facility_id=2349 WHERE facility_id=20682;
2349,20682,3,UPDATE ovc_care_health SET facility_id=1217 WHERE facility_id=10926;
1217,10926,3,UPDATE ovc_care_health SET facility_id=1217 WHERE facility_id=20377;
1217,20377,3,UPDATE ovc_care_health SET facility_id=2277 WHERE facility_id=12820;
2277,12820,3,UPDATE ovc_care_health SET facility_id=2277 WHERE facility_id=22135;
2277,22135,3,UPDATE ovc_care_health SET facility_id=7248 WHERE facility_id=20325;
7248,20325,2,UPDATE ovc_care_health SET facility_id=2706 WHERE facility_id=23346;
2706,23346,2,UPDATE ovc_care_health SET facility_id=517 WHERE facility_id=14919;
517,14919,2,UPDATE ovc_care_health SET facility_id=4036 WHERE facility_id=18752;
4036,18752,2,UPDATE ovc_care_health SET facility_id=130 WHERE facility_id=13133;
130,13133,3,UPDATE ovc_care_health SET facility_id=130 WHERE facility_id=22537;
130,22537,3,UPDATE ovc_care_health SET facility_id=2245 WHERE facility_id=23626;
2245,23626,2,UPDATE ovc_care_health SET facility_id=7460 WHERE facility_id=16673;
7460,16673,2,UPDATE ovc_care_health SET facility_id=4762 WHERE facility_id=9313;
4762,9313,3,UPDATE ovc_care_health SET facility_id=4762 WHERE facility_id=17380;
4762,17380,3,UPDATE ovc_care_health SET facility_id=8814 WHERE facility_id=19770;
8814,19770,2,UPDATE ovc_care_health SET facility_id=8425 WHERE facility_id=17798;
8425,17798,2,UPDATE ovc_care_health SET facility_id=2262 WHERE facility_id=23195;
2262,23195,2,UPDATE ovc_care_health SET facility_id=7230 WHERE facility_id=20089;
7230,20089,2,UPDATE ovc_care_health SET facility_id=6024 WHERE facility_id=17148;
6024,17148,2,UPDATE ovc_care_health SET facility_id=4269 WHERE facility_id=17336;
4269,17336,2,UPDATE ovc_care_health SET facility_id=2909 WHERE facility_id=11115;
2909,11115,3,UPDATE ovc_care_health SET facility_id=2909 WHERE facility_id=20591;
2909,20591,3,UPDATE ovc_care_health SET facility_id=5909 WHERE facility_id=16806;
